NAME,2022_BFA_Percap_Income
Adams,43431
Allen,50195
Ashland,47118
Ashtabula,46316
Athens,41866
Auglaize,55857
Belmont,46658
Brown,45846
Butler,55897
Carroll,47394
Champaign,48873
Clark,47151
Clermont,62495
Clinton,49985
Columbiana,45189
Coshocton,42239
Crawford,46572
Cuyahoga,63448
Darke,52673
Defiance,47310
Delaware,88871
Erie,58855
Fairfield,55015
Fayette,47012
Franklin,59473
Fulton,52808
Gallia,46079
Geauga,83249
Greene,61013
Guernsey,47686
Hamilton,71767
Hancock,56761
Hardin,39938
Harrison,46168
Henry,52388
Highland,44035
Hocking,45472
Holmes,56133
Huron,47635
Jackson,41084
Jefferson,45490
Knox,51107
Lake,59749
Lawrence,47449
Licking,55665
Logan,48607
Lorain,55441
Lucas,53428
Madison,52295
Mahoning,51765
Marion,42382
Medina,65702
Meigs,42061
Mercer,61832
Miami,56078
Monroe,42173
Montgomery,55114
Morgan,43106
Morrow,47698
Muskingum,49192
Noble,31123
Ottawa,62480
Paulding,48624
Perry,45943
Pickaway,50895
Pike,46346
Portage,53419
Preble,48644
Putnam,59510
Richland,44998
Ross,44711
Sandusky,48557
Scioto,46319
Seneca,47563
Shelby,51955
Stark,53588
Summit,62207
Trumbull,45564
Tuscarawas,51879
Union,69498
Van Wert,49563
Vinton,40536
Warren,73592
Washington,51016
Wayne,53174
Williams,48999
Wood,56011
Wyandot,55488